batter,runs_scored,balls_faced,matches_played
Tr Birt,75,59,5
M Klinger,73,78,4
Rr Sarwan,73,78,4
Lh Ferguson,72,49,8
Sk Rasheed,71,67,5
J Suchith,70,62,9
Aa Bilakhia,69,88,7
Vivrant Sharma,69,49,1
Urvil Patel,68,34,3
Jj Bumrah,68,81,27
Jg Bethell,67,39,2
Rr Powar,67,64,9
Hr Shokeen,66,67,5
R Sharma,66,77,19
Ka Jamieson,65,60,9
Wd Parnell,65,86,13
Gd Phillips,65,55,8
Mohammad Hafeez,64,84,8
Anirudh Singh,63,69,4
A Flintoff,62,57,3
Avesh Khan,62,39,13
Sp Jackson,61,57,8
Sandeep Sharma,60,79,26
S Aravind,59,59,10
Harshit Rana,59,57,10
Mg Bracewell,58,49,4
I Sharma,57,71,21
Vishnu Vinod,56,58,6
Wa Mota,56,76,8
M Rawat,55,70,11
Dj Willey,53,64,5
A Chopra,53,75,6
Pvd Chameera,53,46,10
Shoaib Malik,52,49,5
Rp Singh,52,78,28
Kb Arun Karthik,51,53,8
R Rampaul,51,52,7
Of Smith,51,50,6
Swapnil Singh,51,46,9
Shivam Mavi,51,58,11
Rv Gomez,50,53,9
Vr Aaron,50,73,12
Sb Bangar,49,58,7
As Yadav,49,40,6
A Nortje,49,51,13
Ag Paunikar,49,61,5
M Markande,48,44,10
T Kohler-Cadmore,48,54,3
Yashpal Singh,47,67,4
C Bosch,47,32,2
Ravi Bishnoi,45,68,16
Dr Sams,44,48,13
D Pretorius,44,28,5
Sunny Singh,43,31,5
Ab Barath,42,43,3
Sk Trivedi,42,61,14
A Nehra,41,63,17
Br Dunk,40,36,3
Lpc Silva,40,27,3
J Yadav,40,38,4
Rasikh Salam,40,40,6
Umar Gul,39,19,4
Dj Thornely,39,54,4
Auk Pathan,39,26,7
Mm Patel,39,41,12
S Nadeem,39,88,20
S Narwal,37,29,4
Ys Chahal,37,89,17
L Balaji,36,50,13
Kw Richardson,36,39,4
Joginder Sharma,36,30,5
Sohail Tanvir,36,31,5
Anureet Singh,36,47,8
An Ahmed,36,27,6
A Kumble,35,49,15
M Ashwin,35,50,12
B Sumanth,35,38,4
L Ronchi,34,37,5
A Mithun,34,26,6
Ap Dole,34,23,2
S Sreesanth,34,57,12
Navdeep Saini,33,38,7
D Salunkhe,33,24,3
Imran Tahir,33,37,8
Rj Peterson,32,32,5
At Carey,32,29,3
Basil Thampi,32,37,7
G Coetzee,31,33,7
S Sriram,31,38,2
Ns Naik,31,53,4
T Taibu,31,26,3
Arshdeep Singh,31,48,13
J Syed Mohammad,29,27,5
Vh Zol,29,26,2
Tu Deshpande,28,24,8
Sb Jakati,28,30,5
As Joseph,27,32,5
Dj Malan,26,26,1
Ab Dinda,26,50,16
Md Shanaka,26,26,3
Pj Sangwan,26,47,14
Cv Varun,26,50,11
Jm Kemp,26,25,2
As Rajpoot,26,41,7
As Roy,26,25,7
Nl Mccullum,26,23,2
Tl Seifert,26,26,3
Sanvir Singh,25,22,5
A Choudhary,25,20,3
Mohsin Khan,25,27,5
S Chanderpaul,25,33,3
Akash Deep,25,14,5
Kc Cariappa,24,21,5
Aj Turner,24,31,6
Er Dwivedi,24,15,2
Tanush Kotian,24,32,1
Ma Khote,24,22,3
Bmaj Mendis,23,27,3
Umran Malik,23,16,5
Af Milne,23,31,6
J Arunkumar,23,24,3
P Dubey,23,33,2
Sw Tait,23,26,5
Au Rashid,22,17,2
He Van Der Dussen,22,25,3
Sa Abbott,22,18,3
Gb Hogg,22,22,4
Sediqullah Atal,22,16,1
Yudhvir Singh,22,16,4
Kl Nagarkoti,22,34,7
B Indrajith,21,31,3
De Bollinger,21,23,4
Ac Thomas,20,19,4
Bkg Mendis,20,11,1
S Kaul,20,36,9
M Muralitharan,20,30,9
C Sakariya,20,31,7
Rr Raje,20,18,5
Nj Maddinson,20,21,3
Noor Ahmad,20,35,11
A Mukund,19,23,2
Dr Martyn,19,26,1
Gulbadin Naib,19,15,1
Ra Bawa,19,18,3
Jr Hazlewood,19,30,7
Nt Ellis,19,26,5
R Bishnoi,19,17,3
R Shukla,19,23,4
P Ray Barman,19,25,1
P Sahu,19,13,2
Y Gnaneswara Rao,19,18,1
Sumit Kumar,18,26,3
T Banton,18,22,2
Pv Tambe,18,39,6
Jj Van Der Wath,18,17,3
Harmeet Singh,18,12,4
Naveen-Ul-Haq,18,26,4
R Sai Kishore,18,16,4
Saurav Chauhan,18,16,3
Ds Lehmann,18,19,2
Bj Haddin,18,11,1
Kma Paul,18,26,5
M Theekshana,17,34,6
Parvez Rasool,17,20,4
Ja Richardson,17,27,3
Ck Kapugedera,16,24,3
Yv Dhull,16,23,3
Ks Sharma,16,25,3
A Kamboj,16,15,6
Pp Ojha,16,45,19
Aj Hosein,16,11,1
A Zampa,15,25,5
Vy Mahesh,15,28,5
Jl Pattinson,15,13,2
J Overton,15,7,2
Gr Napier,15,16,1
I Udana,15,11,4
Virat Singh,15,26,2
Sd Lad,15,13,1
C Madan,15,21,1
Mp Breetzke,14,12,1
Fa Allen,14,19,3
Mdkj Perera,14,13,2
F Behardien,14,13,3
Vijaykumar Vyshak,14,13,4
Kartik Tyagi,13,16,6
Mustafizur Rahman,13,24,7
Dt Patil,13,13,2
Dr Shorey,13,20,2
Kj Abbott,13,8,3
Arjun Tendulkar,13,9,1
S Badree,13,25,5
Karanveer Singh,12,17,4
T Thushara,12,19,4
Aa Chavan,12,11,3
Ar Bawne,12,12,1
Ma Wood,12,10,3
K Upadhyay,12,9,2
K Kartikeya,12,18,4
Daj Bracewell,12,9,1
Mujeeb Ur Rahman,12,15,6
Dg Nalkande,12,12,2
T Henderson,11,16,2
Dnt Zoysa,11,9,2
T Kohli,11,20,3
Xc Bartlett,11,15,1
M Ntini,11,19,2
Rk Bhui,10,27,4
Td Paine,10,29,2
Ag Murtaza,10,14,3
Smsm Senanayake,10,17,4
Mukesh Kumar,10,20,5
Kaj Roach,10,9,1
Je Root,10,15,1
X Thalaivan Sargunam,10,17,1
Bb Sran,10,14,7
D Du Preez,10,13,1
Simarjeet Singh,10,15,6
J Theron,10,13,4
M Prasidh Krishna,9,24,7
Sm Harwood,9,14,2
L Wood,9,3,1
D Ferreira,9,14,3
Vg Arora,9,25,9
Aa Kulkarni,9,8,2
Aa Noffke,9,12,1
Pwa Mulder,9,12,1
Jpr Scantlebury-Searles,8,6,2
Tm Srivastava,8,11,3
Ck Langeveldt,8,9,2
Kt Maphaka,8,3,1
Cj Mckay,8,15,1
Akash Madhwal,8,14,2
Ts Mills,8,14,5
Oc Mccoy,8,5,1
P Chopra,8,6,1
Sh Johnson,8,11,5
Jaskaran Singh,8,11,4
Ua Birla,7,15,1
Ankit Soni,7,9,3
V Viyaskanth,7,5,1
Vs Malik,7,7,2
Suryansh Shedge,7,12,3
Is Sodhi,7,18,2
An Ghosh,7,8,2
I Malhotra,7,4,1
Pankaj Singh,7,12,5
Psp Handscomb,6,12,1
Ss Shaikh,6,7,1
Sb Joshi,6,16,2
Jp Behrendorff,6,9,2
Ba Bhatt,6,7,2
Dm Bravo,6,5,1
Mukesh Choudhary,6,6,2
R Minz,6,16,2
Prince Yadav,5,11,2
B Stanlake,5,2,1
B Laughlin,5,13,4
