fielder,dismissals
S Ladda,3
D Ferreira,3
PD Collingwood,3
MA Wood,3
Suyash Sharma,3
M Ntini,3
Sanvir Singh,3
JE Root,2
SM Harwood,2
KC Cariappa,2
DJM Short,2
SP Fleming,2
MD Shanaka,2
RP Meredith,2
S Sohal,2
SK Rasheed,2
N Thushara,2
Mohsin Khan,2
Urvil Patel,2
AS Yadav,2
P Dubey,2
NT Ellis,2
S Narwal,2
Salman Butt,2
SH Johnson,2
KA Jamieson,2
Karanveer Singh,2
MJ McClenaghan,2
A Chandila,2
SS Shaikh,2
DT Patil,2
KT Maphaka,2
AT Carey,2
Shivam Singh,2
FA Allen,2
DAJ Bracewell,2
Mohammad Hafeez,2
Mohammad Ashraful,2
Mujeeb Ur Rahman,2
SMSM Senanayake,2
Akash Madhwal,2
IR Jaggi,2
JDS Neesham,2
N Burger,2
RS Sodhi,2
RJW Topley,2
Ashwani Kumar,2
SB Dubey,2
MS Bhandage,2
MJ Owen,2
MN Samuels,2
ER Dwivedi,2
NL McCullum,2
JP Behrendorff,2
AD Nath,2
JL Pattinson,2
TK Curran,2
Virat Singh,2
M Tiwari,2
V Viyaskanth,2
LE Plunkett,2
VS Malik,2
KR Mayers,2
Pankaj Singh,2
P Amarnath,2
SD Chitnis,2
DJ Thornely,2
SJ Srivastava,2
CJ Ferguson,2
RE Levi,2
AG Paunikar,2
RJ Quiney,2
Tanay Thyagarajan,2
Akash Deep,2
Y Gnaneswara Rao,2
AD Hales,2
E Malinga,2
AP Dole,2
C Bosch,2
JR Hazlewood,2
D Salunkhe,2
Anmolpreet Singh,2
AM Salvi,2
DG Nalkande,2
SB Wagh,2
AD Mascarenhas,2
GD McGrath,2
B Indrajith,2
D Jansen,2
BW Hilfenhaus,2
S Badree,2
Milind Kumar,1
CJ Green,1
PHKD Mendis,1
AA Bilakhia,1
Mashrafe Mortaza,1
JA Richardson,1
Ankit Soni,1
MG Bracewell,1
GHS Garton,1
K Kartikeya,1
Gulbadin Naib,1
Younis Khan,1
P Chopra,1
AV Wankhade,1
L Ngidi,1
Himmat Singh,1
Subhransu Senapati,1
K Upadhyay,1
Ashok Sharma,1
R Bishnoi,1
T Mishra,1
W O'Rourke,1
RJ Peterson,1
T Kohler-Cadmore,1
T Taibu,1
HE van der Dussen,1
Suryansh Shedge,1
D Kalyankrishna,1
PWA Mulder,1
LB Williams,1
RR Sarwan,1
Tanush Kotian,1
Umar Gul,1
BKG Mendis,1
KAJ Roach,1
B Aparajith,1
KA Maharaj,1
A Zampa,1
Akash Singh,1
Shivam Sharma,1
UT Khawaja,1
MD Mishra,1
P Suyal,1
TL Seifert,1
S Vidyut,1
Sonu Yadav,1
Misbah-ul-Haq,1
KM Asif,1
SSB Magala,1
M Siddharth,1
T Vijay,1
KH Devdhar,1
Fazalhaq Farooqi,1
N Jagadeesan,1
AN Ghosh,1
BAW Mendis,1
MJ Clarke,1
K Santokie,1
JM Kemp,1
JG Bethell,1
RR Bhatkal,1
S Lamichhane,1
Sunny Singh,1
B Stanlake,1
WPUJC Vaas,1
