batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Am Nayar,672,588,50,114.28571428571428,498.2571428571428,4
Abishek Porel,661,454,29,145.59471365638768,494.7189427312775,4
Gj Bailey,663,552,36,120.1086956521739,491.7217391304348,4
E Lewis,654,499,26,131.06212424849699,486.6124248496994,4
Ch Morris,618,413,49,149.636803874092,467.42736077481834,4
Pp Chawla,624,580,86,107.58620689655172,466.9172413793103,4
Pj Cummins,612,417,48,146.76258992805757,462.5525179856115,4
Jj Roy,614,460,21,133.47826086956522,458.59565217391304,4
Jd Ryder,604,466,29,129.6137339055794,451.62274678111584,4
Rashid Khan,585,387,66,151.1627906976744,446.3325581395349,4
Sn Khan,585,456,36,128.28947368421052,438.7578947368421,4
Hm Amla,577,418,16,138.03827751196172,433.10765550239233,4
Priyansh Arya,545,310,18,175.80645161290323,418.4612903225807,4
Shahbaz Ahmed,545,475,38,114.73684210526316,408.24736842105267,4
Cj Anderson,538,436,29,123.39449541284404,404.17889908256876,4
Mk Lomror,527,389,35,135.47557840616966,399.4951156812339,4
Jp Faulkner,527,406,45,129.80295566502463,399.3605911330049,4
Rs Bopara,531,468,22,113.46153846153845,396.59230769230766,0
Washington Sundar,511,426,43,119.9530516431925,385.9906103286385,4
M Manhas,514,486,38,105.76131687242798,384.75226337448555,0
Gurkeerat Singh,511,436,32,117.20183486238531,384.34036697247706,4
Oa Shah,506,405,22,124.93827160493827,381.3876543209876,4
Sw Billings,503,399,27,126.06516290726817,380.0130325814536,4
Pc Valthaty,505,432,23,116.89814814814814,379.17962962962963,0
Nithish Kumar Reddy,485,382,22,126.96335078534031,367.092670157068,4
Rr Rossouw,473,321,22,147.35202492211837,362.77040498442364,4
Wg Jacks,463,306,19,151.30718954248366,356.26143790849665,4
A Raghuvanshi,463,326,18,142.0245398773006,354.3049079754601,4
D Brevis,455,305,16,149.18032786885246,349.9360655737705,4
Dt Christian,460,408,41,112.74509803921569,348.6490196078432,0
Nltc Perera,424,326,30,130.06134969325154,325.8122699386503,4
Sa Asnodkar,423,352,19,120.17045454545455,322.0340909090909,0
Jr Hopes,417,314,19,132.80254777070064,320.3605095541401,4
R Ravindra,413,298,18,138.59060402684565,318.61812080536913,4
J Botha,409,364,28,112.36263736263736,311.57252747252744,0
Naman Dhir,392,226,19,173.4513274336283,310.9902654867256,4
Lr Shukla,405,358,33,113.12849162011173,309.42569832402233,0
J Fraser-Mcgurk,385,203,15,189.6551724137931,308.9310344827586,4
Ashutosh Sharma,393,256,18,153.515625,307.603125,4
