bowler,balls_bowled,wickets_taken,runs_conceded,matches_played
P Parameswaran,159,9,226,8
Af Milne,217,9,339,10
Am Nayar,239,9,323,19
J Yadav,398,9,447,20
Akash Singh,208,9,326,10
Kp Pietersen,180,9,218,13
Smsm Senanayake,195,9,211,8
Mohammad Asif,199,9,307,8
R Parag,309,9,478,30
As Roy,167,8,218,10
Nithish Kumar Reddy,152,8,255,12
Zeeshan Ansari,209,8,334,10
Wg Jacks,145,8,221,13
S Sandeep Warrier,176,8,257,10
I Udana,182,8,286,10
Yudhvir Singh,145,8,257,9
S Randiv,180,8,223,8
Kc Cariappa,224,8,349,11
A Mithun,312,8,477,16
M Ntini,213,8,257,9
Gc Viljoen,146,8,229,6
Jds Neesham,222,8,342,13
Aa Chavan,255,8,339,13
Tl Suman,152,7,198,11
R Shukla,130,7,217,7
B Stanlake,150,7,200,6
Swapnil Singh,165,7,241,14
Km Asif,143,7,232,7
N Burger,105,7,152,5
B Akhil,193,7,246,13
Y Venugopal Rao,222,7,338,20
C De Grandhomme,230,7,323,19
Pc Valthaty,153,7,207,10
Hf Gurney,169,7,239,8
Of Smith,95,7,179,6
D Pretorius,166,7,242,7
P Amarnath,132,7,241,6
Am Salvi,156,7,205,7
Rr Raje,144,7,214,10
Dj Willey,221,7,277,11
Ss Cottrell,131,6,177,6
Rv Gomez,97,6,130,9
Vs Malik,212,6,268,13
W O'Rourke,64,6,132,3
Je Taylor,122,6,167,5
Dg Nalkande,89,6,150,6
Jaskaran Singh,111,6,174,7
V Puthur,73,6,109,5
Mg Bracewell,66,6,95,5
Sb Bangar,153,6,221,9
S Tyagi,220,6,304,14
S Dube,130,6,223,15
S Kaushik,210,6,304,10
Ak Markram,191,6,275,19
V Sehwag,138,6,236,15
S Narwal,113,6,203,6
Kmdn Kulasekara,107,6,122,5
K Khejroliya,148,6,250,8
Fh Edwards,150,6,160,6
M De Lange,116,6,171,5
R Sathish,144,6,233,14
Ramandeep Singh,45,6,64,4
Fazalhaq Farooqi,266,6,440,12
S Ladda,141,5,225,9
A Choudhary,108,5,144,5
Ap Dole,73,5,114,3
Sb Wagh,108,5,147,8
Pd Collingwood,90,5,101,6
V Kohli,264,5,371,26
Shoaib Ahmed,103,5,154,7
Rjw Topley,125,5,222,6
Sh Johnson,172,5,289,9
Tm Dilshan,275,5,368,25
Shoaib Akhtar,46,5,54,3
Prince Yadav,144,5,226,6
Kl Nagarkoti,185,5,287,11
Hr Shokeen,213,5,320,13
Gurkeerat Singh,82,5,97,6
Harsh Dubey,61,5,98,3
L Ablish,45,5,76,3
O Thomas,63,5,85,4
S Dhawan,49,4,72,6
Arjun Tendulkar,83,4,117,5
T Stubbs,37,4,69,5
D Du Preez,43,4,56,2
Le Plunkett,154,4,228,7
Shivam Sharma,114,4,165,5
Dp Vijaykumar,159,4,205,9
A Badoni,35,4,50,7
Ankit Soni,112,4,145,6
Dj Muthuswami,84,4,108,6
Wa Mota,75,4,98,7
Parvez Rasool,200,4,273,11
Y Nagar,72,4,125,8
Mj Henry,105,3,183,6
Daj Bracewell,25,3,32,1
Sachin Baby,10,3,8,2
Rs Hangargekar,43,3,60,2
Dj Thornely,44,3,40,4
Rj Peterson,48,3,70,4
Sikandar Raza,88,3,146,7
Rn Ten Doeschate,83,3,94,10
Al Menaria,113,3,144,12
Sm Boland,43,3,56,2
Sm Harwood,67,3,74,3
M Siddharth,101,3,140,5
Mj Clarke,66,3,72,5
Tm Head,58,3,113,6
K Santokie,51,3,91,2
Jm Kemp,47,3,58,5
Vr Iyer,84,3,145,9
Jj Van Der Wath,76,3,134,3
A Uniyal,38,3,67,2
Jw Hastings,61,3,66,3
P Sahu,107,3,152,5
Ghs Garton,97,3,136,5
Ja Richardson,94,3,162,4
T Shamsi,120,3,185,5
Gagandeep Singh,84,3,142,4
R Ninan,36,3,65,2
Jpr Scantlebury-Searles,45,2,89,3
Mayank Dagar,138,2,205,8
Xc Bartlett,60,2,96,4
Ma Khote,30,2,52,2
A Flintoff,66,2,106,3
Kj Abbott,102,2,182,5
Sc Kuggeleijn,50,2,71,2
V Kaverappa,24,2,36,1
Abdul Samad,57,2,119,6
Kt Maphaka,71,2,148,4
Sd Chitnis,38,2,62,2
C Nanda,50,2,58,3
Gd Phillips,31,2,40,4
Lj Wright,75,2,125,6
Shoaib Malik,58,2,87,5
K Yadav,54,2,85,3
Ka Maharaj,36,2,39,2
Fa Allen,91,2,136,4
P Dubey,79,2,112,5
Dnt Zoysa,69,2,100,3
Rj Gleeson,73,2,111,3
Phkd Mendis,42,2,60,4
D Kalyankrishna,50,2,88,3
Mohammad Hafeez,63,2,71,4
Au Rashid,60,2,91,3
Pvsn Raju,29,2,54,2
Nd Doshi,57,2,79,4
Mk Lomror,94,2,127,11
B Geeves,49,2,91,2
Ph Solanki,36,2,39,2
P Suyal,107,2,154,5
Cl White,46,1,86,6
Ssb Magala,37,1,52,2
Ss Sarkar,25,1,34,2
Ss Mundhe,7,1,6,1
Ss Agarwal,24,1,42,1
Aj Finch,44,1,67,5
Y Prithvi Raj,33,1,57,2
Aj Hosein,24,1,41,1
Aa Kazi,13,1,21,1
A Nel,18,1,31,1
Musheer Khan,12,1,27,1
D Brevis,3,1,8,1
D Jansen,28,1,53,1
L Wood,38,1,94,2
Am Rahane,6,1,5,1
La Carseldine,7,1,6,1
Lb Williams,42,1,74,2
R Powell,21,1,35,2
Fy Fazal,12,1,20,2
Aa Noffke,25,1,41,1
T Henderson,36,1,41,2
Pm Sarvesh Kumar,31,1,42,2
V Viyaskanth,60,1,90,3
Gs Sandhu,48,1,86,2
Gr Napier,24,1,28,1
C Bosch,45,1,56,2
Bmaj Mendis,30,1,36,2
Aa Jhunjhunwala,88,1,130,10
Gh Vihari,43,1,48,6
Cj Mckay,42,1,60,2
Tp Sudhindra,74,1,137,3
Nb Singh,25,1,18,2
