batter,run_stddev
Lj Wright,0.0
Lmp Simmons,0.0
Lpc Silva,0.0
Lr Shukla,0.0
Lrpl Taylor,0.0
Ls Livingstone,0.0
M Ashwin,0.0
M Jansen,0.0
M Kaif,0.0
M Kartik,0.0
M Klinger,0.0
M Manhas,0.0
M Markande,0.0
M Morkel,0.0
Le Plunkett,0.0
Jh Kallis,0.0
Lalit Yadav,0.0
La Carseldine,0.0
Kl Rahul,0.0
Km Jadhav,0.0
Kma Paul,0.0
Kp Appanna,0.0
Kp Pietersen,0.0
Kr Mayers,0.0
Ks Bharat,0.0
Ks Sharma,0.0
Ks Williamson,0.0
Kuldeep Yadav,0.0
Kumar Kushagra,0.0
Kv Sharma,0.0
Kw Richardson,0.0
L Balaji,0.0
L Ronchi,0.0
La Pomersbach,0.0
Jg Bethell,0.0
Jec Franklin,0.0
Je Taylor,0.0
Fazalhaq Farooqi,0.0
Fh Edwards,0.0
Fy Fazal,0.0
G Coetzee,0.0
G Gambhir,0.0
Gb Hogg,0.0
Gc Smith,0.0
Gc Viljoen,0.0
Gd Mcgrath,0.0
Gd Phillips,0.0
Gh Vihari,0.0
Ghs Garton,0.0
Gj Bailey,0.0
Gj Maxwell,0.0
Gurkeerat Singh,0.0
Fa Allen,0.0
H Klaasen,0.0
F Du Plessis,0.0
Er Dwivedi,0.0
Dl Vettori,0.0
Dnt Zoysa,0.0
Dp Conway,0.0
Dp Nannes,0.0
Dpmd Jayawardene,0.0
Dr Sams,0.0
Dr Shorey,0.0
Dr Smith,0.0
Ds Kulkarni,0.0
Ds Lehmann,0.0
Dt Christian,0.0
Dt Patil,0.0
Dw Steyn,0.0
E Lewis,0.0
Ejg Morgan,0.0
F Behardien,0.0
M Ntini,0.0
Harbhajan Singh,0.0
Harpreet Brar,0.0
J Fraser-Mcgurk,0.0
J Overton,0.0
J Suchith,0.0
J Syed Mohammad,0.0
J Theron,0.0
J Yadav,0.0
Ja Morkel,0.0
Ja Richardson,0.0
Jaskaran Singh,0.0
Jc Archer,0.0
Jc Buttler,0.0
Jd Ryder,0.0
Jd Unadkat,0.0
Jdp Oram,0.0
Jds Neesham,0.0
J Botha,0.0
Harmeet Singh,0.0
J Arunkumar,0.0
Is Sodhi,0.0
Harpreet Singh,0.0
Harshit Rana,0.0
Hc Brook,0.0
He Van Der Dussen,0.0
Hh Gibbs,0.0
Hh Pandya,0.0
Hm Amla,0.0
Hr Shokeen,0.0
Hv Patel,0.0
I Sharma,0.0
I Udana,0.0
Ik Pathan,0.0
Imran Tahir,0.0
Iqbal Abdulla,0.0
Ir Jaggi,0.0
Ishan Kishan,0.0
Z Khan,0.0
A Dananjaya,
A Tomar,
Aa Noffke,
Abdul Basith,
Abdur Razzak,
Aj Hosein,
Ar Bawne,
Arjun Tendulkar,
Arshad Khan (2),
B Stanlake,
Bj Haddin,
Bkg Mendis,
Br Sharath,
C Madan,
C Nanda,
Cj Mckay,
D Du Preez,
D Kalyankrishna,
Daj Bracewell,
Dj Malan,
Dj Muthuswami,
Dm Bravo,
Dp Vijaykumar,
Dr Martyn,
Ds Rathi,
Gr Napier,
Gulbadin Naib,
H Das,
Hf Gurney,
I Malhotra,
Ic Pandey,
Je Root,
Jl Denly,
K Yadav,
Ka Maharaj,
Kaj Roach,
Kamran Khan,
Km Asif,
Kmdn Kulasekara,
Kr Sen,
Ks Rathore,
Kt Maphaka,
L Ablish,
L Ngidi,
L Wood,
Lb Williams,
Liton Das,
M De Lange,
M Tiwari,
Mashrafe Mortaza,
Mayank Dagar,
Mj Owen,
Mj Suthar,
Mohammad Ashraful,
Mohit Rathee,
Mp Breetzke,
Ms Bhandage,
Musheer Khan,
Nd Doshi,
Nj Rimmington,
Oc Mccoy,
P Chopra,
P Ray Barman,
Pm Sarvesh Kumar,
Psp Handscomb,
Pvsn Raju,
Pwa Mulder,
R Ninan,
R Sanjay Yadav,
Rg More,
Rj Gleeson,
Rjw Topley,
Rr Bhatkal,
Rs Gavaskar,
